track_id,track_name,track_popularity,duration_ms,artist_names,artist_ids,album_id,album_name,album_release_date,album_total_tracks
3GQETOg4ZXyQ1jEFqfMoac,I Will Follow Him,55,148160,Peggy March,5EVZqrbIyEYGGite2sMhDk,5R0M6bpjLmFutJBcFhqNlg,I Will Follow Him,1963-12-10,18
7D97JnBT73FWUh9KmRvP9M,If You Wanna Be Happy,53,143000,Jimmy Soul,7k4MYPtpz3fAViMuuLi9ry,52RYT3SK1MzjGDOfcDupUA,"Frank Guida Presents: Jimmy Soul ""If You Wanna Be Happy""",2012-01-10,10
5A9Lz0DPD0wo2QDqGm4zh9,It's My Party,0,144160,Lesley Gore,08b2PA6eFyugsWAk41eQKZ,7wOkRyqP8l6XdHEUfXpxFy,It's My Party: The Mercury Anthology,1996-01-01,52
6meIeOX3DHdaCnaNw67abE,Sukiyaki,44,189520,Kyu Sakamoto,3WKkjW8B7x5UZmfC9pnDmN,5n3yhXw0DNTRIpSfRE98tT,Lost Hits Of The 60's (All Original Artists & Versions),2010-01-01,20
09Pusf8xlBUruQ1k9ZUa2q,Easier Said Than Done,0,31343,The Essex,1MRFkxDxTMqNTZJSWgW7VL,0KAoGT8ofUtJiTYikSyD5S,Easier Said Than Done,2016-09-02,1
1Oewmmr12xuhgzvUJ9Q0cf,Surf City,47,147266,Jan & Dean,0pqGj6vO9YHsXuZmaJaP2Y,7yzoaZNNZM1i4QV2vrgJeK,Surf City And Other Swingin' Cities,2010-01-01,12
6h0LLmMVZY108wNzD5UM6O,So Much In Love,41,140466,The Tymes,0a1BmEq1mZ5ufKMC2fsziR,5iZmFM0Ka5SDaAknjdDv8W,So Much In Love,1963-01-01,17
1NYQcypyj0Useb8xyw3I4E,Fingertips,0,190426,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,5x7vXXWapy8cUmdSuwpUy1,Number 1's,2007-01-01,20
5NiFSI8iIDtVm1NCwdYrHS,My Boyfriend's Back,46,136800,The Angels,6YtJeguOS8yoMkmLLnzU7q,42pUInY6KQcFg0L6ySYZsa,My Boyfriend's Back,1998-01-01,11
4QelFzhVgLomeQhvKrwM1S,Blue Velvet,56,168093,Bobby Vinton,6bOYtKnpLPQSfMpS2ilotK,4qK4QZUSp8QdoMEm9mrzyA,The Best Of Bobby Vinton,2004-06-22,14
2nLLenueHlqs60IcDn9lan,Sugar Shack,0,123693,Jimmy Gilmer & The Fireballs,2FIdQw5j2RpoSKSg3siOmy,51nvfVI9OVO0rb70lI00qS,Sugar Shack / Buddy's Buddy,2009-10-01,24
5kJez8nvgq0HqhWy3UTQFx,Deep Purple,33,160133,Nino Tempo & April Stevens,5s1WKkWyMzhGnLZ0ClgyTN,5PDCUDIZ89GL5NSsnkETQO,Deep Purple,2001,12
6gnI7SUxbUogNTGt4p41t4,I'm Leaving It Up to You,0,128824,Dale & Grace,4pm3g02BZ11lBvSCuomYaW,4XpkPShXSNd9TJp3DvqVus,Popular Gold Hits Vol 3,2011-07-07,10
1xB2hDYLJTeYTQfJErkBQx,Dominique,0,30542,Singing Nun,4rFvX6Y0lmfij3H1dZIGam,0MJITHHah8u9REaSPZMR3B,Dominique,2016-08-26,1
6Scrggc1xNuIKYWdsftodj,There! I've Said It Again - Single Version,21,140666,Bobby Vinton,6bOYtKnpLPQSfMpS2ilotK,4qK4QZUSp8QdoMEm9mrzyA,The Best Of Bobby Vinton,2004-06-22,14
4pbG9SUmWIvsROVLF0zF9s,I Want To Hold Your Hand - Remastered 2015,65,145746,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,7vEJAtP3KgKSpOHVgwm3Eh,1 (Remastered),2000-11-13,27
