track_id,track_name,artist_names,album_id,album_name,album_release_date,release_year,artist_ids,duration_ms,album_total_tracks,track_popularity,genre
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,Lover,2019-08-23 00:00:00+00:00,2019.0,06HL4z0CvFAxyc27GXpf02,178426,18,88,
1zi7xx7UVEFkmKfv06H8x0,One Dance,Drake; Wizkid; Kyla,40GMAhriYJRO1rsY4YdrZb,Views,2016-05-06 00:00:00+00:00,2016.0,3TVXtAsR1Inumwj472S9r4; 3tVQdUvClmAT7URs9V3rsp; 6TK7fjRPdy2GW2pJzNF23L,173986,20,88,afro r&b; afrobeat; afrobeats; afropiano; afropop; afroswing; azonto; rap
0InIeZW4P6VO7dUGRM4AKH,Sienna,The Marías,03guxdOi12XJbnvxvxbpwG,Submarine,2024-05-31 00:00:00+00:00,2024.0,2sSGPbdZJkaSE2AbcGOACx,224840,14,88,bedroom pop
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03 00:00:00+00:00,2017.0,6eUKZXaKkcviH0Ku9w2n3V,263400,16,88,soft pop
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03 00:00:00+00:00,2017.0,6eUKZXaKkcviH0Ku9w2n3V,233712,16,88,soft pop
25jgQBxuUkGDdCG1WGKKN9,House Tour,Sabrina Carpenter,1aqg30bNvLSWgShZgX4oop,Man’s Best Friend,2025-08-29 00:00:00+00:00,2025.0,74KM79TiuVKeVCqs8QtB0B,169214,12,88,pop
1j15Ar0qGDzIR0v3CQv3JL,Gnarly,Katseye,25oD4E4cwmG7SCQIoF3ez5,Gnarly,2025-04-30 00:00:00+00:00,2025.0,3c0gDdb9lhnHGFtP4prQpn,137316,1,88,k-pop
3hpm0fTeSqlhJbnqAgaLZs,Marlboro Rojo,Fuerza Regida,1JpJzuM4uncCfCimVozkmy,111XPANTIA,2025-05-02 00:00:00+00:00,2025.0,0ys2OFYzWYB5hRDLCsBqxt,184173,12,88,banda; corrido; corridos bélicos; corridos tumbados; electro corridos; música mexicana; sad sierreño; sierreño
6sGIMrtIzQjdzNndVxe397,So Easy (To Fall In Love),Olivia Dean,0l8zYqoUeBYg47Gmevq9HZ,The Art of Loving,2025-09-26 00:00:00+00:00,2025.0,00x1fYSGhdqScXBRpSj3DW,169000,12,88,pop soul
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,1CEODgTmTwLyabvwd7HBty,Viva La Vida or Death and All His Friends,2008-06-06 00:00:00+00:00,2008.0,4gzpq5DPGxSnKTe4SA8HAU,242373,10,87,
7gKxCvTDWwV9wBhdeBbr3l,Nice To Each Other,Olivia Dean,74sFrKGdI7ZBBVKrT9jtdV,Nice To Each Other,2025-05-30 00:00:00+00:00,2025.0,00x1fYSGhdqScXBRpSj3DW,209000,1,87,pop soul
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,5658aM19fA3JVwTK6eQX70,Divinely Uninspired To A Hellish Extent,2019-05-17 00:00:00+00:00,2019.0,4GNC7GD6oZMSxPGyXy4MNB,182160,12,87,soft pop
46aZJc0z1HHHSFxaIRxYSP,Breakin' Dishes,Rihanna,3JSWZWeTHF4HDGt5Eozdy7,Good Girl Gone Bad: Reloaded,2008-06-02 00:00:00+00:00,2008.0,5pKCCKE2ajJHZ9KAiaK11H,200573,15,87,
7fBv7CLKzipRk6EC6TWHOB,The Hills,The Weeknd,0P3oVJBFOv3TDXlYRhGL7s,Beauty Behind The Madness,2015-08-28 00:00:00+00:00,2015.0,1Xyo4u8uXC1ZmMpatF05PJ,242253,14,87,
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,4PgleR09JVnm3zY1fW3XBA,24K Magic,2016-11-17 00:00:00+00:00,2016.0,0du5cEVh5yTK9QJze8zA0C,206693,9,87,
1rKQjUhF9zFJmuUotr3VkV,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",Twice,14JkAa6IiFaOh5s0nMyMU9,KPop Demon Hunters (Soundtrack from the Netflix Film),2025-06-20 00:00:00+00:00,2025.0,7n2Ycct7Beij7Dj7meI4X0,181192,12,87,k-pop
